Date,Average Temperature,Minimum Temperature,Maximum Temperature,Precipitation,Wind Direction,Wind Speed,Air Pressure
01/03/2013,3.2,1.1,5,0,342,15.1,1002.7
02/03/2013,3.1,1.1,5.6,0,307,14.4,1004.2
03/03/2013,2.6,0.6,6.1,0,,14.4,1002.6
04/03/2013,1.8,-0.6,5,0,303,28.1,1003
05/03/2013,2.9,0,6.1,0,,16.6,1013.5
06/03/2013,3.2,1.7,5,1.3,58,36.7,1018.5
07/03/2013,0.4,-1.1,2.8,11.7,20,38.2,1016.5
08/03/2013,0.4,-2.2,5.6,23.9,9,29.5,1016.3
09/03/2013,1.8,-0.6,3.3,0,35,17.6,1024.3
10/03/2013,,-2.2,2.8,0,,12.6,
11/03/2013,4.8,1.7,10,0,198,15.8,1024.2
12/03/2013,8.2,3.9,11.7,7.4,168,18.7,1015.1
13/03/2013,7.6,3.9,10.6,0,284,20.2,1007.2
14/03/2013,0.8,-5,3.9,0,286,27,1007.9
15/03/2013,-1,-6.1,5,0,277,24.5,1008.1
16/03/2013,1.4,-1.1,4.4,0,,13.3,1009
17/03/2013,0.2,-3.9,3.3,0,330,18.4,1017.2
18/03/2013,-2.3,-6.1,0.6,3,,16.6,1028.6
19/03/2013,0.4,-2.2,2.2,34.3,68,35.6,1011.6
20/03/2013,0.2,-3.3,3.9,0,269,23,1007.3
21/03/2013,0,-1.1,1.7,0.5,,9,1006.7
22/03/2013,1.4,-1.7,4.4,0,,19.8,1004.3
23/03/2013,2.5,-1.1,6.7,0,288,26.6,1006
24/03/2013,3.9,0.6,8.9,0,,16.2,1008.4
25/03/2013,3.9,0.6,6.7,0,,22.3,1004
26/03/2013,5.4,1.1,10,1.3,,16.9,1004.1
27/03/2013,6.9,2.2,12.8,0,317,19.4,1008.7
28/03/2013,5.7,3.3,8.9,0,340,13.7,1013.8
29/03/2013,8.4,4.4,13.3,0.3,,14,1016.4
30/03/2013,8,4.4,12.2,0,,13,1017.6
31/03/2013,7.9,1.1,15,0.8,,15.8,
01/04/2013,9.4,1.7,16.7,3,,23.4,
02/04/2013,2.5,-0.5,5.6,0,274,27.4,1011.3
03/04/2013,2.9,-0.5,8.3,0,277,30.6,1015.2
04/04/2013,5.2,0,13.3,0,260,22,1021.9
05/04/2013,7.6,3.3,13.9,0,,20.5,1010.7
06/04/2013,4.9,0.6,8.3,0,316,19.4,1021.1
07/04/2013,5.8,0,12.2,0,,25.6,1022.6
08/04/2013,10.4,7.8,17.2,0,,15.8,1016.9
09/04/2013,11.7,7.2,22.8,1.5,,14,1014.7
10/04/2013,8.6,7.2,12.2,4.8,,9.7,1014.1
11/04/2013,7.9,5.6,9.4,1,,11.2,1015.7
12/04/2013,4.6,3.3,6.1,8.9,86,30.6,1017.3
13/04/2013,4.7,2.2,10.6,0.5,,14.4,1010.5
14/04/2013,8.7,5.6,12.8,0,,16.9,1016.4
15/04/2013,7.2,3.3,9.4,0,,16.9,1027.2
16/04/2013,10,3.9,17.8,0,195,24.1,1025.6
17/04/2013,14.3,8.3,18.9,0,,15.5,1021.8
18/04/2013,10.6,7.2,17.2,0,113,22,1027.4
19/04/2013,16.2,11.7,23.9,1.3,201,28.8,1013.2
20/04/2013,14.2,6.7,18.3,9.7,275,24.1,1010.6
21/04/2013,7.1,2.8,10,0,331,17.3,1032.5
22/04/2013,6.2,2.2,9.4,0,67,22.3,1039.5
23/04/2013,5.4,5,6.1,3.3,47,27.4,1029.4
24/04/2013,9.9,6.1,20.6,0,343,23.4,1013.1
25/04/2013,13.4,8.9,18.9,0.8,,17.3,1017.5
